date,t,pnl_day,pnl_cum
2025-10-01,1500,-7.199999999999999,-7.199999999999999
2025-10-02,1501,-10.073327257763346,-17.273327257763345
2025-10-03,1502,1.4307619107394656,-15.842565347023879
2025-10-06,1503,5.036153784366726,-10.806411562657154
2025-10-07,1504,1.1805016877747336,-9.62590987488242
2025-10-08,1505,4.331878743442296,-5.294031131440125
2025-10-09,1506,-4.831024360431915,-10.12505549187204
2025-10-10,1507,-0.7324871572279901,-10.85754264910003
2025-10-13,1508,-3.347326013031849,-14.20486866213188
2025-10-14,1509,-3.941702728737503,-18.146571390869383
